Travel Queries Forecast Template - Enhanced with ARIMA Model and Improved Brand Metrics,,,,,,,,,,,
,,,,,,,,,,,
INSTRUCTIONS:,,,,,,,,,,,
1. This template is designed to forecast travel queries for a market using the multi-factor approach and ARIMA model,,,,,,,,,,,
2. Fill in the data in each of the input sheets (Historical Queries, Flight Searches, Media Impressions, Brand Health),,,,,,,,
3. Adjust the parameters in the Parameters sheet if needed,,,,,,,,,,,
4. The forecast will automatically calculate based on the input data and parameters,,,,,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
HISTORICAL QUERIES,,,,,,,,,,,
====================,,,,,,,,,,,
Month,Year,Indexed Queries,,,,,,,,,
January,124.85,132.84,140.09,147.34,99.11,6.4%,12.2%,18.0%,-20.6%,
February,98.80,110.31,116.37,122.43,99.10,11.7%,17.8%,23.9%,0.3%,
March,99.09,115.46,121.81,128.15,99.09,16.5%,22.9%,29.3%,0.0%,
April,92.34,92.27,97.33,102.38,99.09,-0.1%,5.4%,10.9%,7.3%,
May,86.94,83.75,88.33,92.92,99.09,-3.7%,1.6%,6.9%,14.0%,
June,82.80,75.98,80.16,84.35,99.09,-8.2%,-3.2%,1.9%,19.7%,
July,86.15,80.44,84.87,89.30,99.09,-6.6%,-1.5%,3.7%,15.0%,
August,92.83,90.96,95.97,100.97,99.09,-2.0%,3.4%,8.8%,6.7%,
September,99.68,110.90,116.99,123.07,99.09,11.3%,17.4%,23.5%,-0.6%,
October,110.86,134.59,141.94,149.28,99.09,21.4%,28.0%,34.7%,-10.6%,
November,97.24,102.26,107.87,113.49,99.09,5.2%,10.9%,16.7%,1.9%,
December,99.18,115.57,121.92,128.28,99.09,16.5%,22.9%,29.3%,-0.1%,
Average,97.56,103.78,109.47,115.16,99.09,6.4%,12.2%,18.0%,1.6%,
,,,,,,,,,,,
====================,,,,,,,,,,,
CONFIDENCE INTERVALS,,,,,,,,,,,
====================,,,,,,,,,,,
Month,ARIMA Forecast,Lower 95% CI,Upper 95% CI,Range Width,,,,,,,
January,99.11,74.05,124.18,50.13,,,,,,,
February,99.10,69.67,128.52,58.85,,,,,,,
March,99.09,66.89,131.29,64.40,,,,,,,
April,99.09,64.55,133.63,69.08,,,,,,,
May,99.09,62.40,135.79,73.39,,,,,,,
June,99.09,60.38,137.81,77.43,,,,,,,
July,99.09,58.46,139.72,81.26,,,,,,,
August,99.09,56.63,141.55,84.92,,,,,,,
September,99.09,54.87,143.31,88.44,,,,,,,
October,99.09,53.18,145.00,91.82,,,,,,,
November,99.09,51.56,146.63,95.07,,,,,,,
December,99.09,49.98,148.20,98.22,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
ENHANCED BRAND METRICS,,,,,,,,,,,
====================,,,,,,,,,,,
Quarter,Consideration,Intent,Intent/Consideration Ratio,Conversion Efficiency Factor,,,,,,,
Q4 2023,33.36%,20.83%,0.62,0.98,,,,,,,
Q1 2024,31.43%,19.53%,0.62,0.98,,,,,,,
Q2 2024,31.71%,20.62%,0.65,0.99,,,,,,,
Q3 2024,31.30%,20.00%,0.64,0.98,,,,,,,
Q4 2024,33.09%,22.10%,0.67,1.00,,,,,,,
Q1 2025 (Target),33.60%,22.40%,0.67,1.00,,,,,,,
Q2 2025 (Target),33.90%,22.60%,0.67,1.00,,,,,,,
Q3 2025 (Target),34.20%,22.70%,0.66,1.00,,,,,,,
Q4 2025 (Target),35.00%,23.20%,0.66,1.00,,,,,,,
